longitude,latitude,name,company_name,m2,clouds,readyForService,networks,cdns,country,gross_max_power,ixps,fibres,construction_date,id,certs.EUcoc,certs.Other,certs.UT_cert,certs.BREAAM,certs.LEED,certs.UT_level,OBJECTID,GEOID,RPL_EJI,RPL_SER,RPL_EJI_CBM,EPL_MINRTY,RPL_SVM_DOM1,EPL_POV200,EPL_NOHSDP,EPL_UNEMP,EPL_RENTER,EPL_HOUBDN,EPL_UNINSUR,EPL_NOINT,RPL_SVM_DOM2,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_LIMENG,RPL_SVM_DOM3,EPL_MOBILE,EPL_GROUPQ,RPL_SVM_DOM4,RPL_SVM,EPL_OZONE,EPL_PM,EPL_DSLPM,EPL_TOTCR,RPL_EBM_DOM1,EPL_NPL,EPL_TRI,EPL_TSD,EPL_RMP,EPL_COAL,EPL_LEAD,RPL_EBM_DOM2,EPL_PARK,EPL_HOUAGE,EPL_WLKIND,RPL_EBM_DOM3,EPL_RAIL,EPL_ROAD,EPL_AIRPRT,RPL_EBM_DOM4,EPL_IMPWTR,RPL_EBM_DOM5,RPL_EBM,EPL_ASTHMA,EPL_CANCER,EPL_CHD,EPL_MHLTH,EPL_DIABETES,RPL_HVM,EPL_NEHD,RPL_CBM_DOM1,EPL_BURN,EPL_SMOKE,RPL_CBM_DOM2,EPL_CFLD,EPL_DRGT,EPL_HRCN,EPL_RFLD,EPL_SWND,EPL_TRND,RPL_CBM_DOM3,RPL_CBM,Shape,Tribe_PCT_Tract,Tribe_Names,Tribe_Flag
-121.9885208,37.374903,Silicon Valley 14,Equinix,,[],,[],[],USA,,[],[],,2f16d4a0-5412-46a7-bcbf-47324c4ccbc1,False,,0,False,False,1.0,74970,06085508708,0.2749,0.4453,0.26,0.8514,0.8514,0.2201,0.1134,0.5537,0.887,0.004,0.2498,0.0436,0.1895,0.0138,0.0787,0.055,0.7846,0.0334,0,0,0,0.0795,0.5463,0.966,0.6306,0.0434,0.7563,0.996,0.8598,0.8446,0,0,0,0.9672,0.6254,0.0609,0.1239,0.0133,0.7392,0.6136,0,0.6635,0.5964,0.5964,0.8316,0.0012,0.0073,0.0025,0.0378,0.0096,0,0.5373,0.5373,0,0.7675,0.7601,0,0.8001,0,0.5284,0.0389,0,0.2969,0.4611,Polygon,0,-999,-999
-77.4505613,39.0222419,Washington 12,Equinix,,[],,[],[],USA,,[],[],,834c1b83-7102-494f-b308-ec73e4379f6d,False,,0,False,False,1.0,56691,51107611018,0.5877,0.5463,0.5015,0.4859,0.4859,0.3395,0.309,0.1141,0.8795,0.7127,0.1794,0.5983,0.4162,0.9936,0.0429,0.9897,0.7573,0.9594,0,0.8043,0.4901,0.5759,0,0,0.658,0.4976,0.3734,0.9367,0.6265,0.6655,0,0,0,0.839,0.6332,0.0728,0.6935,0.2607,0,0.4862,0,0.1599,0.4283,0.4283,0.4598,0.0242,0.9925,0.9155,0.0072,0.655,0.4,0.4222,0.4222,0,0.2477,0.2458,0,0.2403,0.647,0,0.988,0,0.5348,0.373,Polygon,0,-999,-999
-77.41380959999998,39.0258274,Sterling 1,CyrusOne,22297,[],,[],[],USA,,[],[],,b36f177b-57c1-4090-a890-6f6601ca4ac3,False,,0,False,False,1.0,60116,51107611501,0.2748,0.4449,0.2044,0.7577,0.7577,0.5445,0.7769,0.5426,0.9509,0.8313,0.9037,0.0406,0.7501,0.0499,0.3644,0.055,0.827,0.0936,0,0,0,0.4749,0,0,0.6485,0.4976,0.3687,0.938,0.5614,0.6224,0,0,0,0.8186,0.6325,0.08,0.3913,0.0821,0,0.6136,0,0.2271,0.6029,0.6029,0.4358,0.3285,0.0728,0.0515,0.6445,0.3098,0,0.3981,0.3981,0,0.2477,0.2458,0,0.2403,0.647,0,0.988,0,0.5348,0.3481,Polygon,0,-999,-999
-77.41380959999998,39.0258274,Sterling 2,CyrusOne,11148,[],,[],[],USA,,[],[],,d72bbaf1-232a-4758-8e82-d8f1274354f1,False,,0,False,False,1.0,60116,51107611501,0.2748,0.4449,0.2044,0.7577,0.7577,0.5445,0.7769,0.5426,0.9509,0.8313,0.9037,0.0406,0.7501,0.0499,0.3644,0.055,0.827,0.0936,0,0,0,0.4749,0,0,0.6485,0.4976,0.3687,0.938,0.5614,0.6224,0,0,0,0.8186,0.6325,0.08,0.3913,0.0821,0,0.6136,0,0.2271,0.6029,0.6029,0.4358,0.3285,0.0728,0.0515,0.6445,0.3098,0,0.3981,0.3981,0,0.2477,0.2458,0,0.2403,0.647,0,0.988,0,0.5348,0.3481,Polygon,0,-999,-999
-96.71454169999998,32.96541360000001,1210 Integrity Drive,Digital Realty Trust,10500,[],,[],[],USA,50400,[],[],,570e173f-6017-47f0-bc09-d6e998cce8ed,False,,0,False,False,1.0,46455,48113019053,0.3037,0.484,0.5382,0.7025,0.7025,0.0595,0.2172,0.7527,0.9928,0.4955,0.406,0.1974,0.4134,0.0127,0.1729,0.0029,0.3503,0.0109,0,0,0,0.1312,0.8716,0.8381,0.7529,0.4976,0.9316,0,0.8598,0.8446,0.895,0,0,0.9284,0.5514,0.0434,0.0664,0.0027,0.7905,0.6136,0,0.7032,0,0,0.8286,0.0133,0.0098,0.0053,0.4471,0.0104,0,0.6201,0.6201,0,0.5885,0.5832,0,0.7023,0.2158,0.8845,0.7147,0,0.8075,0.9128,Polygon,0,-999,-999
-96.71454169999998,32.96541360000001,1215 Integrity Drive,Digital Realty Trust,3500,[],,[],[],USA,6000,[],[],1325372400000.0,6b1d0d35-def0-49e1-b294-b0ad59b9b606,False,,0,False,False,1.0,46455,48113019053,0.3037,0.484,0.5382,0.7025,0.7025,0.0595,0.2172,0.7527,0.9928,0.4955,0.406,0.1974,0.4134,0.0127,0.1729,0.0029,0.3503,0.0109,0,0,0,0.1312,0.8716,0.8381,0.7529,0.4976,0.9316,0,0.8598,0.8446,0.895,0,0,0.9284,0.5514,0.0434,0.0664,0.0027,0.7905,0.6136,0,0.7032,0,0,0.8286,0.0133,0.0098,0.0053,0.4471,0.0104,0,0.6201,0.6201,0,0.5885,0.5832,0,0.7023,0.2158,0.8845,0.7147,0,0.8075,0.9128,Polygon,0,-999,-999
-121.4943996,38.58157189999999,California Sacramento 1,NTT,,[],,[],[],USA,,[],[],,3faef28a-f241-4636-9233-befdd42a8c06,False,,0,False,False,1.0,75747,06067001103,0.8535,0.8928,0.8125,0.6444,0.6444,0.769,0.6558,0.7705,0.9454,0.8923,0,0.4456,0.7275,0.149,0.0108,0.9031,0.5723,0.2296,0,0.7423,0.4431,0.6255,0.7228,0.9591,0.7264,0.9248,0.9871,0.9651,0.8598,0.8446,0.9666,0,0,0.9969,0.5514,0.3969,0.0052,0.0356,0.8112,0.6136,0,0.7208,0.8863,0.8863,0.9956,0.6788,0.2434,0.3064,0.6959,0.4116,0.4,0.7536,0.7536,0,0.9158,0.9062,0,0.9118,0,0,0.0174,0,0.1021,0.4108,Polygon,0,-999,-999
-121.4943996,38.58157189999999,California Sacramento 2,NTT,,[],,[],[],USA,,[],[],,861e486e-3275-47a3-870b-d0f4f4d0e347,False,,0,False,False,1.0,75747,06067001103,0.8535,0.8928,0.8125,0.6444,0.6444,0.769,0.6558,0.7705,0.9454,0.8923,0,0.4456,0.7275,0.149,0.0108,0.9031,0.5723,0.2296,0,0.7423,0.4431,0.6255,0.7228,0.9591,0.7264,0.9248,0.9871,0.9651,0.8598,0.8446,0.9666,0,0,0.9969,0.5514,0.3969,0.0052,0.0356,0.8112,0.6136,0,0.7208,0.8863,0.8863,0.9956,0.6788,0.2434,0.3064,0.6959,0.4116,0.4,0.7536,0.7536,0,0.9158,0.9062,0,0.9118,0,0,0.0174,0,0.1021,0.4108,Polygon,0,-999,-999
-121.4943996,38.58157189999999,California Sacramento 3,NTT,4181,[],,[],[],USA,,[],[],,4db38220-de2f-402f-aef9-2cca90609d4d,False,,0,False,False,1.0,75747,06067001103,0.8535,0.8928,0.8125,0.6444,0.6444,0.769,0.6558,0.7705,0.9454,0.8923,0,0.4456,0.7275,0.149,0.0108,0.9031,0.5723,0.2296,0,0.7423,0.4431,0.6255,0.7228,0.9591,0.7264,0.9248,0.9871,0.9651,0.8598,0.8446,0.9666,0,0,0.9969,0.5514,0.3969,0.0052,0.0356,0.8112,0.6136,0,0.7208,0.8863,0.8863,0.9956,0.6788,0.2434,0.3064,0.6959,0.4116,0.4,0.7536,0.7536,0,0.9158,0.9062,0,0.9118,0,0,0.0174,0,0.1021,0.4108,Polygon,0,-999,-999
-96.63888329999996,32.91262400000001,Texas Dallas,NTT,18581,[],,[],[],USA,,[],[],,96ed1bdf-f8b3-4fab-bce3-0e102b0bc033,False,,0,False,False,1.0,42649,48113018802,0.7332,0.8484,0.8866,0.7852,0.7852,0.5435,0.6944,0.158,0.96,0.8764,0.9617,0.1398,0.6965,0.1921,0.6004,0.1699,0.7876,0.3051,0,0.7599,0.456,0.6478,0.8546,0.8216,0.5694,0.4976,0.8888,0,0.8598,0.8446,0.9457,0,0,0.9434,0.5514,0.1707,0.0011,0.0062,0.8112,0.6136,0,0.7208,0.4292,0.4292,0.8754,0.2032,0.1978,0.267,0.6862,0.4985,0.2,0.6757,0.6757,0,0.5688,0.5639,0,0.6962,0.2158,0.8845,0.7147,0,0.805,0.9187,Polygon,0,-999,-999
